country,avg_primary_enrollment_pct,avg_primary_completion_pct,avg_secondary_enrollment_pct,avg_secondary_completion_pct,avg_tertiary_enrollment_pct,avg_tertiary_completion_pct
Nicaragua,118.5,76.21,66.15,55.71,17.73,9.64
Niger,54.94,40.73,12.01,10.33,1.25,0.47
Nigeria,94.0,79.35,37.03,34.02,9.89,0.47
Niue,94.0,79.35,37.03,34.02,9.89,0.47
North Korea,88.31,97.33,97.73,95.27,29.75,0.47
North Macedonia,92.0,92.48,82.7,89.44,33.66,0.47
Northern Mariana Islands,92.0,92.48,82.7,89.44,33.66,0.47
Norway,99.72,99.99,113.31,99.26,74.8,11.1
Oman,98.22,96.69,92.52,95.62,62.33,11.1
Pakistan,86.98,63.11,34.53,41.68,6.96,4.85
Palau,105.99,103.05,102.74,99.86,45.59,4.85
Panama,107.06,94.33,70.76,65.58,42.49,13.47
Papua New Guinea,66.85,59.59,40.35,48.61,42.49,0.59
Paraguay,110.26,90.62,67.61,72.39,27.21,3.04
Peru,112.49,98.25,90.5,85.98,33.78,19.06
Philippines,107.94,97.77,81.83,76.44,30.21,5.99
Poland,98.13,96.47,99.89,96.44,65.09,9.1
Portugal,115.39,99.85,106.65,94.25,59.52,3.53
Puerto Rico,90.73,99.85,81.33,94.25,82.49,3.53
Qatar,104.81,96.64,92.5,94.44,13.98,10.13
Réunion,104.81,96.64,92.5,94.44,13.98,10.13
Romania,100.15,94.46,90.24,89.01,50.11,5.89
Russia,102.01,97.2,90.49,87.15,72.34,21.94
Rwanda,133.0,59.78,24.28,36.98,4.63,0.36
Saint Barthelemy,133.0,59.78,24.28,36.98,4.63,0.36
Saint Helena,133.0,59.78,24.28,36.98,4.63,0.36
Saint Kitts & Nevis,133.0,59.78,24.28,36.98,4.63,0.36
Saint Lucia,103.48,97.58,84.28,85.38,13.77,0.36
Saint Martin,103.48,97.58,84.28,85.38,13.77,0.36
Saint Pierre & Miquelon,103.48,97.58,84.28,85.38,13.77,0.36
Samoa,106.13,104.88,84.0,103.49,7.56,0.36
San Marino,93.14,93.67,95.59,94.26,63.0,0.36
Sao Tome & Principe,93.14,93.67,95.59,94.26,63.0,0.36
Saudi Arabia,100.78,99.17,97.63,97.09,36.39,6.69
Senegal,78.37,53.98,27.01,27.65,7.93,0.69
Serbia,101.01,99.64,91.23,96.81,47.89,8.08
Seychelles,106.7,106.81,75.77,105.79,5.51,8.08
Sierra Leone,110.39,71.98,41.46,51.17,2.05,0.81
Singapore,110.39,99.26,41.46,102.95,2.05,19.07
Sint Maarten,110.39,99.26,41.46,102.95,2.05,19.07
Slovakia,101.26,95.68,91.43,82.92,45.47,6.91
Slovenia,101.67,97.95,101.63,96.95,77.89,10.64
Solomon Islands,107.53,86.47,35.86,61.88,77.89,10.64
Somalia,29.2,86.47,7.35,61.88,77.89,10.64
South Africa,99.58,89.17,90.05,78.95,19.34,0.4
South Korea,103.53,100.13,96.03,99.42,92.09,23.74
South Sudan,74.19,27.44,9.27,18.0,92.09,23.74
Spain,104.72,98.9,120.24,89.88,73.37,13.06
Sri Lanka,100.46,100.2,98.86,95.15,17.8,8.25
St. Vincent & Grenadines,100.46,100.2,98.86,95.15,17.8,8.25
State of Palestine,100.46,100.2,98.86,95.15,17.8,8.25
Sudan,65.39,59.98,37.38,50.89,12.51,1.33
Suriname,114.38,83.82,75.33,41.63,12.65,1.33
Sweden,105.51,101.06,118.16,101.52,72.69,14.25
Switzerland,103.26,96.54,96.06,95.88,48.72,13.57
Syria,116.55,101.42,64.3,59.34,25.49,2.26
Taiwan,116.55,101.42,64.3,59.34,25.49,2.26
Tajikistan,98.25,97.78,81.51,87.68,22.01,3.85
Tanzania,93.1,71.07,32.55,22.85,1.7,0.36
Thailand,98.33,91.35,83.94,80.67,46.07,8.04
Timor-Leste,121.08,91.31,59.89,74.09,14.54,8.04
Togo,119.29,78.13,42.27,38.4,8.96,1.28
Tokelau,119.29,78.13,42.27,38.4,8.96,1.28
Tonga,110.31,107.51,103.16,89.72,5.24,4.38
Trinidad and Tobago,102.77,92.92,85.51,84.87,8.39,4.83
Tunisia,110.76,96.96,85.51,72.47,30.99,5.62
Turkey,103.08,96.23,88.16,92.96,50.13,4.8
Turkmenistan,89.37,96.23,85.34,92.96,7.98,4.8
Turks and Caicos,89.37,96.23,85.34,92.96,7.98,4.8
Tuvalu,99.15,97.09,79.1,71.73,7.98,4.8
U.S. Virgin Islands,99.15,97.09,79.1,71.73,7.98,4.8
Uganda,123.98,58.41,22.38,23.61,3.74,1.51
Ukraine,105.45,100.57,99.34,99.27,72.68,22.44
United Arab Emirates,100.45,94.4,99.34,82.27,72.68,9.08
United Kingdom,104.55,101.04,103.29,100.75,58.95,13.97
United States,101.04,99.8,95.13,103.88,84.17,24.04
Uruguay,111.76,100.68,99.0,73.27,50.56,3.89
Uzbekistan,100.3,97.54,94.13,94.6,10.64,3.89
Vanuatu,118.8,89.71,43.91,45.1,4.36,3.89
Venezuela,102.12,93.1,77.26,70.84,50.42,2.88
Vietnam,103.5,102.58,77.26,82.87,19.05,2.82
Wallis & Futuna,103.5,102.58,77.26,82.87,19.05,2.82
Western Sahara,103.5,102.58,77.26,82.87,19.05,2.82
Yemen,87.68,63.83,45.72,48.33,10.21,1.22
Zambia,101.74,80.1,45.72,47.76,3.99,0.62
Zimbabwe,99.8,94.08,43.17,67.67,6.38,0.45
